,0,1,2,3,4,5,6,7,8,9
KORA2458040,"(1363175, 6076, 105309)","(1363999, 6104, 104457)","(1364287, 6071, 104202)","(1363952, 6119, 104489)","(1364395, 6116, 104049)","(1363453, 6253, 104854)","(1362839, 6008, 105713)","(1364002, 6093, 104465)","(1364374, 5954, 104232)","(1363667, 6130, 104763)"
KORA2460768,"(1816011, 15487, 159158)","(1815400, 15590, 159666)","(1815795, 15816, 159045)","(1815496, 15575, 159585)","(1816322, 14806, 159528)","(1815547, 15646, 159463)","(1814909, 16110, 159637)","(1814786, 15894, 159976)","(1816586, 14755, 159315)","(1816740, 14584, 159332)"
KORA2461868,"(1594958, 15831, 158683)","(1594712, 16800, 157960)","(1595006, 16782, 157684)","(1596067, 16080, 157325)","(1594528, 16569, 158375)","(1595406, 16459, 157607)","(1594284, 17104, 158084)","(1593614, 17419, 158439)","(1593669, 17564, 158239)","(1594484, 17071, 157917)"
KORA2453328,"(1647136, 14550, 144650)","(1646622, 14848, 144866)","(1647084, 15111, 144141)","(1646937, 15052, 144347)","(1646546, 14894, 144896)","(1646013, 14986, 145337)","(1646141, 15135, 145060)","(1646124, 15109, 145103)","(1646376, 14749, 145211)","(1646935, 15154, 144247)"
KORA2460348,"(2150935, 22460, 185901)","(2152024, 22125, 185147)","(2150066, 23680, 185550)","(2149084, 24024, 186188)","(2150941, 23213, 185142)","(2149181, 24507, 185608)","(2150202, 24558, 184536)","(2148826, 24795, 185675)","(2151791, 22303, 185202)","(2150301, 23231, 185764)"
KORA2453620,"(1640174, 17325, 111973)","(1640014, 17411, 112047)","(1640838, 17060, 111574)","(1641053, 16483, 111936)","(1640729, 16652, 112091)","(1641788, 16044, 111640)","(1640017, 17234, 112221)","(1640474, 16793, 112205)","(1640765, 16935, 111772)","(1640455, 17046, 111971)"
KORA2456661,"(1926115, 13898, 161235)","(1929116, 11095, 161037)","(1925258, 15203, 160787)","(1928809, 11993, 160446)","(1927926, 12801, 160521)","(1926366, 13779, 161103)","(1926017, 13624, 161607)","(1926153, 13936, 161159)","(1924682, 15371, 161195)","(1927778, 12925, 160545)"
KORA2461956,"(1788232, 17601, 147959)","(1787273, 18310, 148209)","(1787854, 17259, 148679)","(1787820, 17162, 148810)","(1788226, 17201, 148365)","(1788403, 16758, 148631)","(1786970, 18267, 148555)","(1787124, 18268, 148400)","(1786436, 18772, 148584)","(1787465, 17605, 148722)"
KORA2453464,"(2065625, 12852, 170227)","(2065254, 12879, 170571)","(2065637, 12854, 170213)","(2065783, 12875, 170046)","(2065819, 12850, 170035)","(2065515, 12895, 170294)","(2066445, 12900, 169359)","(2065883, 12803, 170018)","(2066534, 12812, 169358)","(2066207, 12861, 169636)"
KORA2452426,"(1471075, 10530, 103547)","(1470638, 10566, 103948)","(1471391, 10299, 103462)","(1471071, 10453, 103628)","(1470170, 10742, 104240)","(1470982, 10918, 103252)","(1470350, 10562, 104240)","(1470378, 10764, 104010)","(1471441, 10488, 103223)","(1471125, 10576, 103451)"
KORA2458366,"(1674405, 20342, 148453)","(1674480, 20516, 148204)","(1674237, 20226, 148737)","(1673914, 20302, 148984)","(1674757, 20163, 148280)","(1674155, 20245, 148800)","(1673813, 20271, 149116)","(1673226, 20489, 149485)","(1673354, 20645, 149201)","(1674080, 20234, 148886)"
KORA2461206,"(1446941, 12170, 126041)","(1446385, 12120, 126647)","(1446488, 12237, 126427)","(1446055, 12230, 126867)","(1445829, 12131, 127192)","(1446112, 12116, 126924)","(1446464, 12212, 126476)","(1446321, 12425, 126406)","(1446120, 12388, 126644)","(1446167, 12343, 126642)"
KORA2461338,"(1335460, 14619, 87617)","(1336219, 14318, 87159)","(1335964, 14599, 87133)","(1336422, 14123, 87151)","(1335671, 14627, 87398)","(1335983, 14228, 87485)","(1335775, 14597, 87324)","(1335787, 14614, 87295)","(1335836, 14588, 87272)","(1335636, 14641, 87419)"
KORA2456241,"(1635509, 10548, 160279)","(1635757, 10872, 159707)","(1635469, 10855, 160012)","(1635604, 10603, 160129)","(1635593, 10743, 160000)","(1635657, 10510, 160169)","(1635823, 10658, 159855)","(1635583, 10650, 160103)","(1635583, 10773, 159980)","(1635461, 10674, 160201)"
KORA2459972,"(1955466, 19016, 126766)","(1954787, 19280, 127181)","(1955293, 18735, 127220)","(1954797, 19646, 126805)","(1954575, 19563, 127110)","(1954339, 19644, 127265)","(1955428, 18905, 126915)","(1954940, 19566, 126742)","(1954216, 19608, 127424)","(1954802, 19071, 127375)"
KORA2452316,"(1463358, 11193, 110601)","(1463042, 11251, 110859)","(1464374, 10917, 109861)","(1463399, 11388, 110365)","(1464547, 10290, 110315)","(1463315, 11170, 110667)","(1463788, 11112, 110252)","(1463948, 11189, 110015)","(1463477, 11247, 110428)","(1463447, 11058, 110647)"
KORA2461632,"(1890374, 16603, 194271)","(1890644, 16771, 193833)","(1889771, 16876, 194601)","(1890088, 17402, 193758)","(1890354, 17239, 193655)","(1889863, 17291, 194094)","(1891240, 16595, 193413)","(1892087, 16591, 192570)","(1888951, 16756, 195541)","(1889857, 17728, 193663)"
KORA2452206,"(1605306, 16305, 110997)","(1605392, 16041, 111175)","(1605122, 16201, 111285)","(1605907, 15868, 110833)","(1604800, 15971, 111837)","(1604070, 16040, 112498)","(1603869, 16206, 112533)","(1605345, 15826, 111437)","(1605167, 15775, 111666)","(1604971, 16260, 111377)"
KORA2460315,"(1621192, 12431, 135849)","(1621404, 12303, 135765)","(1621446, 12358, 135668)","(1620541, 12415, 136516)","(1620549, 12504, 136419)","(1620469, 12720, 136283)","(1621491, 12237, 135744)","(1620902, 12388, 136182)","(1620423, 12434, 136615)","(1620995, 12491, 135986)"
KORA2462380,"(1687102, 11982, 144116)","(1687205, 12037, 143958)","(1687749, 12228, 143223)","(1686727, 12810, 143663)","(1687584, 12380, 143236)","(1687365, 12137, 143698)","(1686838, 12405, 143957)","(1688519, 11185, 143496)","(1687428, 12009, 143763)","(1687202, 12384, 143614)"
KORA2452353,"(1686275, 15529, 178260)","(1687186, 14296, 178582)","(1685817, 16480, 177767)","(1685992, 15731, 178341)","(1686685, 15349, 178030)","(1686060, 15875, 178129)","(1688575, 12385, 179104)","(1686587, 14714, 178763)","(1686979, 15018, 178067)","(1685695, 16321, 178048)"
KORA2459873,"(1718228, 11344, 113628)","(1719610, 11308, 112282)","(1718589, 11282, 113329)","(1719317, 11457, 112426)","(1719839, 11312, 112049)","(1718013, 11250, 113937)","(1719172, 11295, 112733)","(1719132, 11260, 112808)","(1719206, 11452, 112542)","(1717978, 11757, 113465)"
KORA2456917,"(1343667, 4465, 89564)","(1342996, 4845, 89855)","(1342479, 5252, 89965)","(1344850, 3387, 89459)","(1343460, 4493, 89743)","(1344294, 3618, 89784)","(1342714, 4909, 90073)","(1344486, 3641, 89569)","(1344129, 3971, 89596)","(1343350, 4277, 90069)"
KORA2459123,"(1347614, 15678, 111268)","(1347650, 15641, 111269)","(1347789, 15703, 111068)","(1347343, 15620, 111597)","(1347803, 15582, 111175)","(1347608, 15358, 111594)","(1347585, 15605, 111370)","(1347515, 15556, 111489)","(1347249, 15744, 111567)","(1347443, 15431, 111686)"
