,dataset,model_name,volume_id,samples,sncc,ged,iou_spleen,iou_liver,iou_mean,dice_spleen,dice_liver,dice_mean,surface_distance_prtogt_spleen,surface_distance_prtogt_liver,surface_distance_prtogt_mean,surface_distance_gttopr_spleen,surface_distance_gttopr_liver,surface_distance_gttopr_mean,surface_distance_avg_spleen,surface_distance_avg_liver,surface_distance_avg_mean,target_scan_file
47,2,MC_dropout_quicknat_UKB_v2,1011301_20201_2_0,10,,,0.7346674078191588,0.7759268579097467,0.7552971328644528,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sb.nii.gz
48,2,MC_dropout_quicknat_UKB_v2,1011409_20201_2_0,10,,,0.7681355392936685,0.876992748375385,0.8225641438345268,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sa.nii.gz
49,2,MC_dropout_quicknat_UKB_v2,1012512_20201_2_0,10,,,0.7837218188765762,0.8362246754822273,0.8099732471794018,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17s.nii.gz
50,2,MC_dropout_quicknat_UKB_v2,1012789_20201_2_0,10,,,0.8670289547422944,0.82590753411596,0.8464682444291272,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sb.nii.gz
51,2,MC_dropout_quicknat_UKB_v2,1013250_20201_2_0,10,,,0.7845239482577788,0.8729948615506805,0.8287594049042297,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17s.nii.gz
52,2,MC_dropout_quicknat_UKB_v2,1013391_20201_2_0,10,,,0.9004633145982075,0.9158811668769058,0.9081722407375566,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sa.nii.gz
53,2,MC_dropout_quicknat_UKB_v2,1014447_20201_2_0,10,,,0.7647433447968411,0.8183507680177958,0.7915470564073186,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17s.nii.gz
54,2,MC_dropout_quicknat_UKB_v2,1014488_20201_2_0,10,,,0.6896348645465253,0.5867323380021549,0.6381836012743399,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17s.nii.gz
55,2,MC_dropout_quicknat_UKB_v2,1014488_20201_2_0,10,,,0.8239851971782121,0.7723209466024659,0.7981530718903389,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sb.nii.gz
56,2,MC_dropout_quicknat_UKB_v2,1014541_20201_2_0,10,,,0.5158898305084746,0.3622192371372341,0.4390545338228543,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17s.nii.gz
57,2,MC_dropout_quicknat_UKB_v2,1014541_20201_2_0,10,,,0.8123255092544721,0.8263690704377333,0.8193472898461027,,,,,,,,,,,,,Dixon_BH_17s_opp_Dixon_BH_17sb.nii.gz
